Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Afghanistan,AFG,..,..,45.6809503259136,41.9949087414767,41.5729815243975,40.117794607105,36.4174027510884,34.8192689525137,31.7670028194462,32.5510718990235,..,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Albania,ALB,..,..,..,..,..,4.12421352462683,4.7807757376819,4.44612255944604,3.5151686882408,3.53796901322185,2.36920280740184,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Algeria,DZA,..,9.24748101939991,3.17292300304146,4.53428714332472,4.00200706350611,3.85000930897883,..,..,..,..,..,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Angola,AGO,..,2.74363850454832,6.1202560987776,10.3805441087436,7.9728112509484,6.26489494444149,6.14352646420944,6.64707642332023,9.38443573804507,8.49998170041625,5.55031397893298,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Antigua and Barbuda,ATG,..,19.9823757490307,14.0855565769941,13.7557566292975,13.727807260852,14.2142291414937,13.4092721910277,14.2519544775698,13.8299680146393,..,..,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Argentina,ARG,4.97481108312343,6.9511989995539,5.73046102720888,4.84289297464079,5.19857272416129,5.15496831778969,4.71987633046597,5.48498950502876,5.05369085467836,4.68968162905361,5.50071238852792,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Armenia,ARM,..,..,6.03319317164785,4.84253725388685,4.97186221751974,5.57834473562768,5.76733360213541,..,4.64043043865031,5.82436377063269,5.14110107798682,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Customs and other import duties (% of tax revenue),GC.TAX.IMPT.ZS,Australia,AUS,4.35697446405358,2.48992298869408,2.12491117031146,2.25755395683453,2.15151163530605,2.02314747314851,2.23523267812649,2.41511485981281,2.64002366917772,3.0453018021673,3.79709878512303,..
