Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,..,373.361116300036,445.893297923744,553.300289383064,603.53702306241,669.009050888028,638.612543202424,629.345250369145,569.5779229167,561.77874627093,585.85006378237
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,639.463899289892,1175.78898079471,4370.53964653148,4114.13654490945,4094.35883191918,4437.17806843608,4247.61430826246,4413.08169670601,4578.66672753259,3952.83078116586,4131.87234065272,4537.8624924478
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2394.42038015197,1757.01779715994,4905.25486576261,3868.83123040908,4463.39467488951,5432.41331978116,5565.13452104848,5471.12338878709,5466.42577841535,4160.22006671831,3916.88157088626,4123.38993650709
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,9871.99719445906,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11589.8530023324,11598.7517362051,11865.9632317194,11834.7452292307,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,18878.5059692988,21936.5301014708,47785.6590856793,43339.3798746543,39736.3540626699,41098.7669417228,38391.0808669785,40619.7112977795,42294.9947269717,36038.2676044596,37231.8156714154,39146.5488360905
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,922.550169956192,555.296941863334,3868.57901446005,3347.84490031366,3531.41687831962,4299.00813636005,4539.4676892715,4804.63382589612,4707.57809784664,3683.5526074127,3308.77282845577,4170.31228024945
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,6889.00494893358,9932.02978773184,14797.3684231605,13082.2816597386,12174.6978594572,11931.2041070835,12517.5579290917,12194.6087607071,12946.9869363675,13659.1479142644,14462.1762794658,15021.7381833074
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,4318.77469950773,7669.27391554066,8953.35927526277,8161.30696648652,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13698.2934384857,12654.3549989958,14401.9748546081
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,637.85574116163,622.742747687983,4010.02699722693,2993.83253109033,3218.38165488465,3526.97814267659,3684.80481032649,3843.5912130934,3994.71235479566,3617.93574555176,3605.74311684256,3936.79831965287
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..,20620.7006259175,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,18214.8369843135,21669.410913094,49535.2578737769,42709.8033034787,51936.8887116461,62411.7854473961,67864.6898624672,67990.2900304798,62327.5559390333,56561.4123818054,49896.6811009246,53799.9380899599
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,21680.9896863626,24564.4582948404,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51704.5411875921,44206.7842820834,44731.0108553361,47290.9116498316
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,1237.324491677,655.097432602586,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4131.61831005055
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,12350.9768428937,27112.2562019537,30188.4844382751,28129.6075027617,27979.1149343739,27472.2561707514,28815.527404385,28171.9860036051,28671.3469695344,30483.8201004038,30260.3059054474,30762.0124392644
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,8528.98333446095,13636.3466837798,23067.5653465171,19356.6723557874,20722.1038895508,22512.1596038712,23649.3666139101,24737.1717830704,24983.3790153356,22688.8782442968,22560.5812707477,23655.0356024013
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,297.567994452354,405.603307141767,615.777541053092,681.120536769049,757.671757176894,835.789340127412,856.342857027401,951.889453456343,1084.56542980269,1210.15876939761,1358.77902884543,1516.51342307197
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,7770.81525757908,11567.6661219135,16613.7192186615,15922.9001328689,15959.0297922874,16610.4183520372,16536.2146421152,16326.9134788626,16261.7993189477,16129.0492827663,15891.6265491446,16788.6839195944
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,2124.84051428011,1276.2880341,6377.36973201232,5176.2638299699,6029.3967998293,6519.23019498892,6940.15925359735,7978.87261471076,8318.51268992675,5949.10630699748,5022.62664330491,5726.02967250931
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,20710.6443430806,23207.4059110078,48424.5755963147,44880.5730196227,44380.1766327308,47702.8118941685,44740.5832481477,46582.6695503412,47351.9741788818,40361.1541907535,41260.9775511468,43323.8073364711
