Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by fourth 20%,SI.DST.04TH.20,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Albania,ALB,..,..,22.2,..,..,..,22.8,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Algeria,DZA,..,..,..,..,..,22.3,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Angola,AGO,..,20.2,21.9,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Argentina,ARG,..,21.3,23.1,23.2,22.9,22.9,23.4,23.5,23.4,..,22.7,..
Income share held by fourth 20%,SI.DST.04TH.20,Armenia,ARM,..,..,22.4,22.4,21.7,22.2,22,22.2,22,21.8,22.8,..
Income share held by fourth 20%,SI.DST.04TH.20,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Australia,AUS,..,..,22.5,..,22.7,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Austria,AUT,..,..,22.6,22.6,22.9,23,23,22.7,22.7,22.9,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Bangladesh,BGD,..,21,..,..,21.2,..,..,..,..,..,21.4,..
Income share held by fourth 20%,SI.DST.04TH.20,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Belarus,BLR,..,23,22.9,22.4,22.8,22.8,22.5,22.5,22.4,22.4,21.9,..
Income share held by fourth 20%,SI.DST.04TH.20,Belgium,BEL,..,..,22.7,22.7,22.5,22.7,22.8,23,22.8,22.7,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Benin,BEN,..,..,..,..,..,20.2,..,..,..,20.8,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Bhutan,BTN,..,..,..,..,..,..,21.4,..,..,..,..,22.7
Income share held by fourth 20%,SI.DST.04TH.20,Bolivia,BOL,22,18.8,20.9,21.3,..,22.2,22.5,21.7,21.3,21.8,22.8,..
Income share held by fourth 20%,SI.DST.04TH.20,Bosnia and Herzegovina,BIH,..,..,..,..,..,22.9,..,..,..,22.8,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Botswana,BWA,..,..,..,16.9,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Brazil,BRA,17.9,..,19.3,19.4,..,19.5,19.4,19.4,19.7,19.7,..,..
Income share held by fourth 20%,SI.DST.04TH.20,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Bulgaria,BGR,..,..,22.6,22.8,22.7,22.7,22.4,22.6,22.1,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Burkina Faso,BFA,..,..,..,20.9,..,..,..,..,20.6,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Burundi,BDI,..,..,..,..,..,..,..,20.8,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Cameroon,CMR,..,..,..,..,..,..,..,..,21.6,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Canada,CAN,..,22.8,..,..,22.7,..,..,23.3,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Central African Republic,CAF,..,..,17.7,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Chad,TCD,..,..,..,..,..,21.8,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Chile,CHL,17.3,18.7,..,19.2,..,19.4,..,19.2,..,19.7,..,..
Income share held by fourth 20%,SI.DST.04TH.20,China,CHN,0,..,22.2,..,0,0,22.3,0,0,0,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Colombia,COL,..,18.1,19,19.2,19,19.3,19.7,19.6,19.5,20,19.9,..
Income share held by fourth 20%,SI.DST.04TH.20,Comoros,COM,..,..,..,..,..,..,..,22.2,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,21.6,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,"Congo, Rep.",COG,..,..,..,..,..,20.7,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Costa Rica,CRI,22.5,21.5,20.3,19.9,20.4,20.7,20.6,20.7,20.8,20.6,20.6,..
Income share held by fourth 20%,SI.DST.04TH.20,Cote d'Ivoire,CIV,..,..,21.7,..,..,..,..,..,..,21.6,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Croatia,HRV,..,..,..,23.3,23.5,23.6,23.7,23.6,23.6,23.5,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Cyprus,CYP,..,..,21.6,21.9,21.8,21.7,21.4,20.7,21.3,21.7,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Czech Republic,CZE,..,..,21.6,21.9,22,22,21.9,21.8,21.9,21.9,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Denmark,DNK,..,..,22.5,22.5,22.3,22.3,22.1,21.9,22,21.8,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Djibouti,DJI,..,..,..,..,..,..,21.2,20.9,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Dominican Republic,DOM,..,20,20.3,19.9,20.9,20.5,20.7,20,21.5,21,20.9,..
Income share held by fourth 20%,SI.DST.04TH.20,Ecuador,ECU,..,18.1,20.6,20.8,20.5,21.7,21.6,21,21.2,21.3,21.4,..
Income share held by fourth 20%,SI.DST.04TH.20,"Egypt, Arab Rep.",EGY,21.4,..,20.8,..,20.8,..,21,..,..,20.6,..,..
Income share held by fourth 20%,SI.DST.04TH.20,El Salvador,SLV,..,20.5,20.8,20.5,21.5,21.3,21.3,20.7,21.4,21.4,21.9,..
Income share held by fourth 20%,SI.DST.04TH.20,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Estonia,EST,..,..,22.6,22.5,22.8,22.8,22.6,22.6,22.6,23.2,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Eswatini,SWZ,..,17.5,..,19.9,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Ethiopia,ETH,..,..,..,..,21.3,..,..,..,..,20.6,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Fiji,FJI,..,..,20.5,..,..,..,..,21.3,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Finland,FIN,..,..,22.4,22.4,22.6,22.4,22.5,22.6,22.5,22.4,..,..
Income share held by fourth 20%,SI.DST.04TH.20,France,FRA,..,..,21.9,22.1,21.8,21.9,21.8,21.8,22,21.7,..,..
Income share held by fourth 20%,SI.DST.04TH.20,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,23
Income share held by fourth 20%,SI.DST.04TH.20,"Gambia, The",GMB,..,..,..,..,20.5,..,..,..,..,21.8,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Georgia,GEO,..,22.4,22.6,22.5,22.4,22.4,22.4,22.5,22.4,22.6,22.2,..
Income share held by fourth 20%,SI.DST.04TH.20,Germany,DEU,..,22.7,..,..,22.6,22.4,..,22.5,..,22.6,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Ghana,GHA,..,..,..,..,..,..,21.9,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Greece,GRC,..,..,22.5,22.5,22.9,23.3,23.2,23.2,23.3,23.5,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Guatemala,GTM,..,18.4,..,..,..,..,..,..,20.1,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Guinea,GIN,..,..,..,..,..,..,22.4,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Guinea-Bissau,GNB,..,..,..,..,18.3,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Haiti,HTI,..,..,..,..,..,..,21.9,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Honduras,HND,18.8,..,19.7,21,20.6,19,19.2,20.3,20.7,21.4,21.5,..
Income share held by fourth 20%,SI.DST.04TH.20,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Hungary,HUN,..,..,22.8,23,22.9,22.7,22.8,22.7,22.9,22.9,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Iceland,ISL,..,..,21.2,21.8,22.1,22.4,22.3,22.5,21.9,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,India,IND,..,..,..,..,..,20.6,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Indonesia,IDN,0,0,0,0,0,0,0,20.7,0,0,0,0
Income share held by fourth 20%,SI.DST.04TH.20,"Iran, Islamic Rep.",IRN,21.4,..,..,22.3,..,..,..,22,21.9,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Iraq,IRQ,..,..,..,..,..,..,22.5,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Ireland,IRL,..,..,22.6,22.3,22.6,22.5,22.3,22.3,22.5,22.1,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Israel,ISR,..,..,..,..,22.9,..,23.5,..,..,..,..,..
Income share held by fourth 20%,SI.DST.04TH.20,Italy,ITA,..,..,22.9,23.1,22.8,22.8,22.8,23.1,23.3,23.5,..,..
