Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by highest 20%,SI.DST.05TH.20,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Albania,ALB,..,..,39,..,..,..,37.8,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Algeria,DZA,..,..,..,..,..,37.2,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Angola,AGO,..,56.1,48.5,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Argentina,ARG,..,55.1,48.8,48.2,48,47.4,46.3,46,46.6,..,47.6,..
Income share held by highest 20%,SI.DST.05TH.20,Armenia,ARM,..,..,38.4,37.5,39.4,38.6,38.7,39.4,40.1,40.7,40.2,..
Income share held by highest 20%,SI.DST.05TH.20,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Australia,AUS,..,..,42.7,..,42,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Austria,AUT,..,..,38.6,39.3,38.4,38.7,38.4,38.9,38.6,38.4,..,..
Income share held by highest 20%,SI.DST.05TH.20,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bangladesh,BGD,..,42.7,..,..,41.5,..,..,..,..,..,41.4,..
Income share held by highest 20%,SI.DST.05TH.20,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Belarus,BLR,..,39.1,36.8,37,37.5,36.3,36.1,36.2,36.7,36.4,36.9,..
Income share held by highest 20%,SI.DST.05TH.20,Belgium,BEL,..,..,37.2,37.2,37.2,36.8,36.4,36.4,36.9,36.5,..,..
Income share held by highest 20%,SI.DST.05TH.20,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Benin,BEN,..,..,..,..,..,50.7,..,..,..,52.1,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bhutan,BTN,..,..,..,..,..,..,46.1,..,..,..,..,44.4
Income share held by highest 20%,SI.DST.05TH.20,Bolivia,BOL,48.2,64.2,54.8,53.2,..,50.6,50.6,51.9,52.3,51.1,49,..
Income share held by highest 20%,SI.DST.05TH.20,Bosnia and Herzegovina,BIH,..,..,..,..,..,40.7,..,..,..,40.5,..,..
Income share held by highest 20%,SI.DST.05TH.20,Botswana,BWA,..,..,..,65,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Brazil,BRA,64.6,..,58.6,58.2,..,57.5,57.2,57.4,56.3,56.1,..,..
Income share held by highest 20%,SI.DST.05TH.20,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Bulgaria,BGR,..,..,41,40.9,42.2,41.1,42.7,42.8,43.9,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Burkina Faso,BFA,..,..,..,47.1,..,..,..,..,44.3,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Burundi,BDI,..,..,..,..,..,..,..,46.3,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cameroon,CMR,..,..,..,..,..,..,..,..,51.7,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Canada,CAN,..,40.6,..,..,40.9,..,..,40.7,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Central African Republic,CAF,..,..,60.9,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Chad,TCD,..,..,..,..,..,48.8,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Chile,CHL,62.5,58,..,54.8,..,53.8,..,53.7,..,53.6,..,..
Income share held by highest 20%,SI.DST.05TH.20,China,CHN,0,..,48.5,..,0,0,47.9,0,0,0,..,..
Income share held by highest 20%,SI.DST.05TH.20,Colombia,COL,..,62.2,59.7,58.9,59.4,58.3,57.4,57.5,57.5,55.9,55.7,..
Income share held by highest 20%,SI.DST.05TH.20,Comoros,COM,..,..,..,..,..,..,..,50.4,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,48.4,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,"Congo, Rep.",COG,..,..,..,..,..,53.7,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Costa Rica,CRI,49.6,52.1,54.2,55.9,53.8,54,53.9,54.5,53.9,53.9,54,..
Income share held by highest 20%,SI.DST.05TH.20,Cote d'Ivoire,CIV,..,..,49,..,..,..,..,..,..,47.8,..,..
Income share held by highest 20%,SI.DST.05TH.20,Croatia,HRV,..,..,..,39.7,39.4,39.2,39.4,39.1,39.1,38.4,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Cyprus,CYP,..,..,40.6,40.7,40.4,41.3,42.7,45.1,43.6,42.1,..,..
Income share held by highest 20%,SI.DST.05TH.20,Czech Republic,CZE,..,..,36.5,36.2,36.4,36.2,36.1,36.4,36,35.9,..,..
Income share held by highest 20%,SI.DST.05TH.20,Denmark,DNK,..,..,35.2,36.1,36.7,36.8,37.3,37.9,37.7,37.7,..,..
Income share held by highest 20%,SI.DST.05TH.20,Djibouti,DJI,..,..,..,..,..,..,50.3,50,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Dominican Republic,DOM,..,56.6,53.4,54.2,52.5,52.9,51.5,53,50,50.6,51.1,..
Income share held by highest 20%,SI.DST.05TH.20,Ecuador,ECU,..,60.7,54.6,53.5,53.9,51,51.1,52.2,50.6,51.3,50.5,..
Income share held by highest 20%,SI.DST.05TH.20,"Egypt, Arab Rep.",EGY,41.1,..,40.8,..,41.2,..,39.8,..,..,41.5,..,..
Income share held by highest 20%,SI.DST.05TH.20,El Salvador,SLV,..,55.8,52.5,51.6,49.4,48.7,48.2,49.6,48,47.2,46.4,..
Income share held by highest 20%,SI.DST.05TH.20,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Estonia,EST,..,..,40,39.6,39.7,40.2,40.7,42.4,42.1,40.4,..,..
Income share held by highest 20%,SI.DST.05TH.20,Eswatini,SWZ,..,59.5,..,56.7,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Ethiopia,ETH,..,..,..,..,41.7,..,..,..,..,46.7,..,..
Income share held by highest 20%,SI.DST.05TH.20,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Fiji,FJI,..,..,47.8,..,..,..,..,44.7,..,..,..,..
Income share held by highest 20%,SI.DST.05TH.20,Finland,FIN,..,..,37.2,36.9,37,37.1,36.7,36.6,36.4,36.7,..,..
Income share held by highest 20%,SI.DST.05TH.20,France,FRA,..,..,41.2,40.7,41.8,41.4,41.3,40.9,40.6,40.9,..,..
