Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by lowest 10%,SI.DST.FRST.10,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Albania,ALB,..,..,3.7,..,..,..,3.7,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Algeria,DZA,..,..,..,..,..,4,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Angola,AGO,..,1,2.1,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Argentina,ARG,..,0.9,1.3,1.3,1.6,1.7,1.7,1.8,1.8,..,1.8,..
Income share held by lowest 10%,SI.DST.FRST.10,Armenia,ARM,..,..,3.9,4,3.9,3.8,3.8,3.6,3.5,3.4,3.3,..
Income share held by lowest 10%,SI.DST.FRST.10,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Australia,AUS,..,..,2.8,..,2.8,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Austria,AUT,..,..,3,2.8,3.1,2.9,2.9,3.1,3.1,3,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by lowest 10%,SI.DST.FRST.10,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
