Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by third 20%,SI.DST.03RD.20,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Albania,ALB,..,..,16.8,..,..,..,17.3,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Algeria,DZA,..,..,..,..,..,17.5,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Angola,AGO,..,12.7,14.5,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Argentina,ARG,..,12.8,14.8,15.1,15,15.1,15.4,15.5,15.2,..,15,..
Income share held by third 20%,SI.DST.03RD.20,Armenia,ARM,..,..,17,17.2,16.8,17,17.1,16.9,16.9,16.7,17,..
Income share held by third 20%,SI.DST.03RD.20,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Australia,AUS,..,..,15.9,..,16.1,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Austria,AUT,..,..,17.5,17.4,17.5,17.4,17.5,17.2,17.5,17.6,..,..
Income share held by third 20%,SI.DST.03RD.20,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Bangladesh,BGD,..,15.6,..,..,16,..,..,..,..,..,16.1,..
Income share held by third 20%,SI.DST.03RD.20,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Belarus,BLR,..,17.2,17.7,17.7,17.5,17.8,17.9,17.8,17.7,17.7,17.5,..
Income share held by third 20%,SI.DST.03RD.20,Belgium,BEL,..,..,17.6,17.7,17.8,18,18,18,17.8,18.1,..,..
Income share held by third 20%,SI.DST.03RD.20,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Benin,BEN,..,..,..,..,..,13.4,..,..,..,14.2,..,..
Income share held by third 20%,SI.DST.03RD.20,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Bhutan,BTN,..,..,..,..,..,..,15,..,..,..,..,15.5
Income share held by third 20%,SI.DST.03RD.20,Bolivia,BOL,14.5,10.7,13.1,13.9,..,14.3,14.5,14,13.8,14.2,14.9,..
Income share held by third 20%,SI.DST.03RD.20,Bosnia and Herzegovina,BIH,..,..,..,..,..,16.7,..,..,..,16.6,..,..
Income share held by third 20%,SI.DST.03RD.20,Botswana,BWA,..,..,..,9.5,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Brazil,BRA,9.7,..,11.8,12,..,12.2,12.3,12.3,12.5,12.7,..,..
Income share held by third 20%,SI.DST.03RD.20,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Bulgaria,BGR,..,..,16.9,17,16.7,17.1,16.6,16.7,16.2,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Burkina Faso,BFA,..,..,..,14.7,..,..,..,..,15,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Burundi,BDI,..,..,..,..,..,..,..,15,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Cameroon,CMR,..,..,..,..,..,..,..,..,13.7,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Canada,CAN,..,17,..,..,16.8,..,..,17,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Central African Republic,CAF,..,..,11.1,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Chad,TCD,..,..,..,..,..,14.8,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Chile,CHL,10.3,11.8,..,12.7,..,13,..,13,..,13,..,..
Income share held by third 20%,SI.DST.03RD.20,China,CHN,0,..,14.6,..,0,0,14.8,0,0,0,..,..
Income share held by third 20%,SI.DST.03RD.20,Colombia,COL,..,11,11.4,11.5,11.4,11.7,12,12,12,12.5,12.6,..
Income share held by third 20%,SI.DST.03RD.20,Comoros,COM,..,..,..,..,..,..,..,13.9,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,14.5,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,"Congo, Rep.",COG,..,..,..,..,..,13.2,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Costa Rica,CRI,14.6,13.7,12.8,12.3,12.9,12.8,12.9,12.5,12.8,12.8,12.8,..
Income share held by third 20%,SI.DST.03RD.20,Cote d'Ivoire,CIV,..,..,14.3,..,..,..,..,..,..,14.6,..,..
Income share held by third 20%,SI.DST.03RD.20,Croatia,HRV,..,..,..,17.3,17.4,17.5,17.3,17.5,17.5,17.8,..,..
Income share held by third 20%,SI.DST.03RD.20,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Cyprus,CYP,..,..,16.6,16.4,16.4,16.2,15.8,15.1,15.8,16.2,..,..
Income share held by third 20%,SI.DST.03RD.20,Czech Republic,CZE,..,..,17.6,17.7,17.7,17.9,17.9,17.8,17.8,17.8,..,..
Income share held by third 20%,SI.DST.03RD.20,Denmark,DNK,..,..,18,17.9,17.6,17.5,17.4,17.3,17.3,17.2,..,..
Income share held by third 20%,SI.DST.03RD.20,Djibouti,DJI,..,..,..,..,..,..,14.4,14.6,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Dominican Republic,DOM,..,12.2,13.1,12.9,13.2,13.1,13.6,13.2,14,13.9,13.9,..
Income share held by third 20%,SI.DST.03RD.20,Ecuador,ECU,..,11.2,12.9,13.1,13,13.9,14,13.5,14,13.8,14.1,..
Income share held by third 20%,SI.DST.03RD.20,"Egypt, Arab Rep.",EGY,16.3,..,16.2,..,16.1,..,16.4,..,..,16,..,..
Income share held by third 20%,SI.DST.03RD.20,El Salvador,SLV,..,12.7,13.3,13.8,14.4,14.5,14.7,14.3,14.7,14.8,15.2,..
Income share held by third 20%,SI.DST.03RD.20,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
