Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Afghanistan,AFG,..,..,1.90069271021624,3.5202727968717,2.99896626467183,2.69736656214003,3.72381570671916,3.61702195556776,4.87605245432057,5.99866510787263,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Albania,ALB,..,..,..,..,..,14.7372410256905,14.2052561031126,14.3311500451436,13.8136820719343,14.9190019181277,11.4817193553893,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Algeria,DZA,..,79.5393499142356,57.7855853124538,59.6617461341812,59.0120472708532,60.2023237043619,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Angola,AGO,..,48.6099348372236,48.7412508466923,54.7611603545528,34.14945364822,27.6106701177335,31.9188716823152,29.7385697214622,30.6616103820168,40.2472027652956,42.4108798716178,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Antigua and Barbuda,ATG,..,9.43928292670645,14.5504850691576,16.4493839640374,13.5048834362521,11.2517392644238,11.9572218858256,14.166192451165,10.69488909031,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Argentina,ARG,2.39129523836129,17.0405501659085,13.0827459285192,11.3574525723476,11.5611927566893,13.0207437952904,13.1251461222574,13.4674417329858,13.8493099484698,15.157971390293,12.3798741053662,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Armenia,ARM,..,..,16.8371018522924,19.6583914106229,18.6189207567463,19.4124056956319,21.3143445505382,..,33.8641915681785,35.6675603200118,39.8486936106714,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Australia,AUS,65.0572434159958,66.7154084111551,66.4750072509729,65.1628853702499,61.553197372059,63.6466130384818,65.333748425715,64.2926673581744,63.6064087990414,64.9988060976989,64.2052059518735,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Austria,AUT,18.8292776088998,27.7126938941485,29.0302638886835,26.0059887127633,26.4445645662247,26.660641463424,26.993281110221,27.3637576864748,27.8989223114045,28.7284298191728,26.4476894252798,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Azerbaijan,AZE,..,..,17.6790442885731,13.1926030747249,10.1890492231887,12.0771662382936,13.5923103123383,13.8126411699399,13.9837329312578,17.293334121707,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Bahrain,BHR,5.42313579706976,3.3987840127579,0.653558157339458,0.654574409536411,0,0.66977152473857,..,0.537820839707632,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Bangladesh,BGD,..,..,18.7442106788619,19.2624130750273,20.0583157571158,22.3422918653967,23.2342636383341,24.4541788287236,24.9060827883044,26.855357583724,25.1708657196462,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Barbados,BRB,..,..,34.2185427198582,32.2615299040845,31.6421479533374,29.7225252066065,30.7486638497635,27.6319204232098,28.9090095638906,29.661037364218,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Belarus,BLR,..,10.9555000801594,7.01030501368099,5.94693159706213,6.83931024017047,3.2699939923501,3.45327179203401,2.72369650532611,2.8290693631778,2.92078493393733,2.40108974752553,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Belgium,BEL,..,36.8304538853077,36.9578475585798,34.1450330061437,34.7442762532253,35.2988021090927,35.3865822193812,36.154615662113,36.7480072037111,35.0119513157793,32.6531286054672,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Belize,BLZ,18.5178700498772,21.0461294094288,26.1382333162334,30.1712934614911,31.0071933783227,28.8003886264364,29.2034821197779,26.3403357850089,28.9489820298509,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Benin,BEN,..,..,17.5153683904542,16.7532515849137,16.1706090115316,16.909303451429,16.8326670451803,16.7247820672478,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Bhutan,BTN,5.02895889249894,13.5679617883465,13.9341571148335,15.912639712709,22.7682984885577,25.2145124978697,22.9967056227398,25.5211283223467,24.9822194309177,27.4735861997909,24.3749511924511,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Bolivia,BOL,4.54165750714443,7.09028723748297,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Bosnia and Herzegovina,BIH,..,..,2.65994183423368,5.27113331597381,6.3967080283014,6.6165894725502,6.71772519549421,6.86176820483562,6.48601356139308,6.79875799309685,7.47328100967763,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Botswana,BWA,37.5939646387514,..,26.5574497572671,26.471465098013,29.4048548586591,29.3087756680781,24.0122216457369,27.9464898030249,28.4407382622325,28.4386935992956,29.2769199694545,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Brazil,BRA,20.4409066453295,25.1495141611779,26.6374823597166,28.0040385387696,21.1495040356686,22.8754295267919,21.0124710677735,21.7052478070818,22.0092951007431,20.4396191048774,21.7570350224909,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Bulgaria,BGR,29.0475972749303,16.9516315289521,15.8055072758969,15.8697725432464,15.5608098629651,15.3499761665137,14.5222653504533,14.989640550943,16.2847085439306,15.3668852057755,16.0651234291479,..
"Taxes on income, profits and capital gains (% of revenue)",GC.TAX.YPKG.RV.ZS,Burkina Faso,BFA,..,..,16.404312549808,13.8280819402186,15.1758823656386,19.19468342102,20.0600951179572,19.2278878769171,19.877850956113,18.3486425186301,20.2623183268345,..
