Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Albania,ALB,..,..,28.1175994873047,30.7338008880615,29.5018997192383,30.0109996795654,27.6543998718262,30.9775009155273,34.5,32.7999992370605,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Algeria,DZA,..,..,..,25.4500007629395,24.5300006866455,26,22.7000007629395,21.5,22.7999992370605,21.2000007629395,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Angola,AGO,..,..,..,..,..,10.0088996887207,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Argentina,ARG,..,..,19.4214000701904,20.0359001159668,19.4591999053955,18.404899597168,18.406099319458,19.0701007843018,19.6749000549316,..,..,19.2457008361816
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Armenia,ARM,..,..,..,..,..,44.5999984741211,39.9900016784668,44.3699989318848,38.0317993164063,35.560001373291,36.5834999084473,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Aruba,ABW,..,..,..,..,16.5599994659424,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Australia,AUS,..,..,..,11.3999996185303,11.3199996948242,10.5799999237061,9.89999961853027,11,10.0600004196167,9.77000045776367,8.68000030517578,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Austria,AUT,..,..,7.38000011444092,8.1899995803833,7.42000007629395,7.28000020980835,6.80000019073486,7.32999992370605,7.69999980926514,7.51999998092651,7.69999980926514,6.53999996185303
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Bangladesh,BGD,..,..,..,..,30.0596008300781,..,..,20.2080001831055,..,..,28.8799991607666,27.3862991333008
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Belarus,BLR,..,..,..,12.0799999237061,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Belgium,BEL,..,..,10.1400003433228,11.0799999237061,10.8599996566772,11.8100004196167,12.3400001525879,12.6800003051758,12.0500001907349,12.1800003051758,9.89000034332275,9.31999969482422
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Belize,BLZ,..,..,..,..,..,..,11.9539442062378,..,..,8.42000007629395,22.3999996185303,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Benin,BEN,..,..,..,..,3.50999999046326,17.2343006134033,20,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Bermuda,BMU,..,..,..,..,6.78999996185303,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Bolivia,BOL,..,..,9.68509960174561,9.1786003112793,..,10.8535995483398,10.4135999679565,10.4503002166748,11.1575002670288,14.549599647522,10.879599571228,11.6353998184204
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,26.0699996948242,27.6700000762939,26.4400005340576,24.2800006866455
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Botswana,BWA,..,..,..,35.4653015136719,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Brazil,BRA,..,..,18.3474998474121,18.8082008361816,..,19.4277000427246,19.2626991271973,20.0116004943848,19.7147006988525,22.2206001281738,23.2406997680664,24.332799911499
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,17.1963005065918,..,..,19.9661998748779
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Bulgaria,BGR,..,..,17.3999996185303,19.4500007629395,21.0300006866455,21.8099994659424,21.5300006866455,21.6000003814697,20.2399997711182,19.2800006866455,18.2000007629395,15.3100004196167
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,6.19000005722046,..,..,6.19000005722046
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Cambodia,KHM,..,..,79.1699981689453,7.13000011444092,..,..,12.7175998687744,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Cameroon,CMR,..,..,..,..,10.789999961853,..,..,..,17.0149002075195,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Canada,CAN,15.1731996536255,13.8994998931885,12.7440004348755,14.3576002120972,14.1023998260498,13.6183996200562,13.7885999679565,13.4770002365112,13.898099899292,13.8185997009277,13.4952001571655,12.581600189209
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Chile,CHL,28.1350994110107,24.0293998718262,..,23.2017993927002,11.7299995422363,11.7299995422363,11.7399997711182,11.75,12.25,17.8192005157471,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Colombia,COL,..,..,..,25.0300006866455,23.5643997192383,23.388599395752,22.4773006439209,22.0923004150391,21.3899002075195,20.9449005126953,20.984899520874,21.7777996063232
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,21.3595008850098,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Costa Rica,CRI,..,..,..,..,19.0874996185303,21.377799987793,17.2602996826172,17.8153991699219,16.9491004943848,18.3579006195068,16.3092002868652,15.8385000228882
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Cote d'Ivoire,CIV,..,..,..,..,..,..,12.6715002059937,10.1812000274658,..,..,36.0037002563477,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Croatia,HRV,..,..,11.6199998855591,13.4300003051758,15.6700000762939,16.2199993133545,16.5900001525879,19.6299991607666,19.3299999237061,18.1200008392334,16.8999996185303,15.3500003814697
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Cyprus,CYP,..,..,9.64999961853027,9.89999961853027,11.6800003051758,14.6400003433228,15.9799995422363,18.6700000762939,17.0100002288818,15.3000001907349,16.0200004577637,16.0900001525879
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Czech Republic,CZE,..,..,6.69999980926514,8.51000022888184,8.82999992370605,8.27999973297119,8.89000034332275,9.13000011444092,8.10999965667725,7.46999979019165,7,6.28999996185303
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Denmark,DNK,..,..,4.30000019073486,5.40000009536743,6.03999996185303,6.25,6.63000011444092,6.03000020980835,5.78000020980835,6.19999980926514,5.80999994277954,6.96000003814697
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Dominican Republic,DOM,..,19.6765003204346,19.0722999572754,21.4712009429932,20.8253993988037,19.9277992248535,20.1732006072998,20.8187007904053,19.4652996063232,20.4701995849609,19.4633007049561,24.3355007171631
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,Ecuador,ECU,..,20.0706005096436,16.1445007324219,16.4983997344971,15.6603002548218,16.4328002929688,16.5536003112793,17.3572998046875,20.2343006134033,19.8113994598389,18.4400997161865,17.5596008300781
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,"Egypt, Arab Rep.",EGY,..,..,29.6639003753662,29.8950004577637,33.084300994873,32.0993003845215,31.5526008605957,28.3959999084473,..,27.6053009033203,27.5713996887207,..
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,El Salvador,SLV,..,..,..,28.9300003051758,27.2141990661621,25.910400390625,26.0249996185303,25.3518009185791,28.5041999816895,28.5412006378174,28.2245006561279,28.3978004455566
